Time (s),x,y,z,,timestamps
0.393112705,3.562572241,4.757278919,7.671321392,393.112705,393112.705
0.395112705,3.64158082,4.805162907,7.767089367,395.112705,395112.705
0.397112705,3.684676409,4.884171486,7.803002834,397.112705,397112.705
0.399112705,3.725377798,4.92277813,7.791031837,399.112705,399112.705
0.401113071,3.751713991,4.977844715,7.738358974,401.113071,401113.071
0.403113071,3.734954596,5.076006889,7.577947617,403.113071,403113.071
0.405113071,3.694253206,5.135861874,7.455843449,405.113071,405113.071
0.407113071,3.526659012,5.269937038,7.15896225,407.113071,407113.071
0.409113104,3.308786631,5.380070686,6.85250473,409.113104,409113.104
0.411114004,3.213018656,5.423166275,6.696881294,411.114004,411114.004
0.413114037,3.035847664,5.475838661,6.481403351,413.114037,413114.037
0.41511407,2.863465309,5.483021259,6.402394772,415.11407,415114.07
0.417114103,2.67432332,5.48062706,6.349722385,417.114103,417114.103
0.419114369,2.573766708,5.494992256,6.194098949,419.114369,419114.369
0.421114369,2.384624958,5.475838661,6.0001688,421.114369,421114.369
0.423114335,2.200271368,5.449502468,5.777507782,423.114335,423114.335
0.425114301,2.145204782,5.411195278,5.67216301,425.114301,425114.301
0.427114267,2.094926596,5.360917091,5.432743073,427.114267,427114.267
0.429114233,2.145204782,5.296273232,5.190928459,429.114233,429114.233
0.431113299,2.224213362,5.260360241,5.092766285,431.113299,431113.299
0.433112399,2.439691544,5.195716858,4.96108532,433.112399,433112.399
0.435111499,2.650381327,5.116708279,4.845864296,435.111499,435111.499
0.437110632,2.770091295,5.085583687,4.647145271,437.110632,437110.632
0.439110665,3.052607059,5.052064896,3.782838583,439.110665,439110.665
0.441110698,3.481169224,5.076006889,2.657563925,441.110698,441110.698
0.443110731,3.708618402,5.107131481,2.166752577,443.110731,443110.731
0.445110764,4.082113743,5.257966042,1.398213744,445.110764,445110.764
0.447110797,4.256890774,5.542876244,1.007958889,447.110797,447110.797
0.44911083,4.285621166,5.696105003,0.936132848,449.11083,449110.83
0.45111173,4.199429989,6.019322395,0.9672575,451.11173,451111.73
0.45311263,4.034229755,6.325780392,1.244984865,453.11263,453112.63
0.45511263,3.912125587,6.471826553,1.479616642,455.11263,455112.63
0.45711263,3.60566783,6.720823288,2.197877169,457.11263,457112.63
0.45911263,3.339911461,6.847716331,3.236960649,459.11263,459112.63
0.46111263,3.277662039,6.85250473,3.842693806,461.11263,461112.63
0.46311263,3.303998232,6.704063892,5.047276497,463.11263,463112.63
0.46511263,3.56496644,6.380846977,6.222829342,465.11263,465112.63
0.46711263,3.974374771,6.184522152,6.79025507,467.11263,467112.63
0.469112596,4.189853191,5.753565788,7.85567522,469.112596,469112.596
0.471111696,4.666299343,5.279513836,8.880393028,471.111696,471111.696
0.473110796,4.932354927,5.040093899,9.361627579,473.110796,473110.796
0.475109896,5.511751652,4.556165695,10.09425354,475.109896,475109.896
0.477108996,5.988197803,4.134786129,10.98489666,477.108996,477108.996
0.479109296,6.337751389,3.785232782,11.72470474,479.109296,479109.296
0.481109262,6.490980148,3.629609823,12.07186413,481.109262,481109.262
0.483109262,6.696881294,3.368641853,12.73505783,483.109262,483109.262
0.485109262,6.826168537,3.19865346,13.38149261,485.109262,485109.262
0.487109295,6.881235123,3.126827478,13.67597961,487.109295,487109.295
0.489109328,6.948272705,2.97359848,14.18833828,489.109328,489109.328
0.491110261,7.003339291,2.85867691,14.50676727,491.110261,491110.261
0.493111061,7.000945091,2.794033289,14.57619953,493.111061,493111.061
0.495111961,6.981791496,2.693476915,14.58817005,495.111961,495111.961
0.497112861,6.919542313,2.621650934,14.51634407,497.112861,497112.861
0.499112861,6.857293129,2.595314741,14.44930649,499.112861,499112.861
0.501112861,6.634632111,2.607285738,14.20988655,501.112861,501112.861
0.503112827,6.292261124,2.657563925,13.8124485,503.112827,503112.827
0.505112793,6.093542576,2.688688517,13.56824017,505.112793,505112.793
0.507112759,5.739200592,2.726995707,13.03433323,507.112759,507112.759
0.509112725,5.538087845,2.679111719,12.58661747,509.112725,509112.725
0.511111825,5.478232861,2.626439333,12.38311005,511.111825,511111.825
0.513110925,5.399224281,2.56658411,11.97130775,513.110925,513110.925
0.515110058,5.322609425,2.56897831,11.49965,515.110058,515110.058
0.517109224,5.286696434,2.590526342,11.25304699,517.109224,517109.224
0.519109257,5.14783287,2.722207308,10.64970875,519.109257,519109.257
0.52110939,4.980238914,2.942473888,9.955389977,521.10939,521109.39
0.523109423,4.817133904,3.059789658,9.323320389,523.109423,523109.423
